"table","rls_enabled","policy_count","anon_select","owner_select","other_user_select","write_policies","admin_path","notes"
"account_deletion_receipts","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"admin_teams","YES","1","no","no","conditional","admin_teams_admin_only","yes",""
"announcements","YES","4","no","no","conditional","announcements_admin_insert, announcements_admin_update, anno","yes",""
"app_alerts","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","no",""
"audit_logs","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"business_application_responses","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"business_applications","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"business_category_approvals","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"business_profiles","YES","3","no","yes","deny","business_profiles_owner_update, business_profiles_owner_writ","yes",""
"business_review_events","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"car_details","YES","3","yes: car_details_follow_listing","no","open","car_details_owner_write, car_details_owner_update","yes",""
"categories","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"contact_reveal_events","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"conversation_reports","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"conversations","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"country_configs","YES","4","yes: country_configs_public_read","no","open","country_configs_admin_insert, country_configs_admin_update, ","yes",""
"disposable_email_domains","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"email_templates","YES","1","no","no","conditional","email_templates_admin_only","yes",""
"escrow_transactions","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"essential_notification_fanout_jobs","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"exchange_rates","YES","4","yes: exchange_rates_public_read","no","open","exchange_rates_admin_insert, exchange_rates_admin_update, ex","yes",""
"faqs","YES","4","no","no","conditional","faqs_admin_insert, faqs_admin_update, faqs_admin_delete","yes",""
"follows","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"inquiries","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","no",""
"legal_bookings","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"legal_practitioners","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"legal_specializations","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"listing_media","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"listing_private_locations","YES","4","no","yes","deny","listing_private_locations_server_insert, listing_private_loc","yes",""
"listing_recommendation_features","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"listing_tour_events","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"listing_tour_slots","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"listing_tour_upload_intents","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"listing_tours","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"listing_upload_intents","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"listings","YES","4","yes: listings_public_read_available","no","open","listings_owner_write, listings_owner_update, listings_owner_","yes",""
"locations","YES","3","no","no","conditional","locations_admin_write, locations_admin_update","yes",""
"machinery_details","YES","3","yes: machinery_details_follow_listing","no","open","machinery_details_owner_write, machinery_details_owner_updat","yes",""
