surface,loading,skeleton,empty,error,retry,success,offline,evidence
App shell,YES,NO,n/a,YES,YES,YES,YES,"App.jsx:72-76 LoadingScreen; AppErrorBoundary via main.jsx:43; StartupFailure main.jsx:47 with reload"
Route transition,YES,NO,n/a,YES,NO,YES,YES,"Suspense App.jsx:154; chunk-load rejection not distinguished (F-016)"
Auth check,YES,NO,n/a,YES,YES,YES,n/a,"ProtectedRoute.jsx:76-77 fallback; :88-104 could-not-verify with Try again"
Auth provider outage,YES,NO,n/a,YES,YES,n/a,n/a,"App.jsx:78-94 AuthUnavailable with Try again and Sign out"
Missing profile,n/a,NO,n/a,YES,YES,n/a,n/a,"UserNotRegisteredError (App.jsx:142)"
Blocked account,n/a,NO,n/a,YES,NO,n/a,n/a,"AccountBlocked with status, reason, banUntil (App.jsx:140)"
Discovery / home,YES,UNVERIFIED,UNVERIFIED,YES,UNVERIFIED,YES,YES,"React Query states; offline shell public/offline.html"
Search,YES,UNVERIFIED,UNVERIFIED,YES,UNVERIFIED,YES,YES,"cursor paging; zero-result state UNVERIFIED without rendering"
Listing detail,YES,UNVERIFIED,n/a,YES,UNVERIFIED,YES,YES,""
Listing creation,YES,NO,n/a,YES,YES,YES,PARTIAL,"5-step wizard; usePersistentFormDraft restores step (CreateListing.jsx:57); submission_key prevents double submit"
Peek playback,YES,NO,YES,YES,UNVERIFIED,YES,NO,"TourProcessingState.jsx:7 processing state; Tours.jsx:245 memory discipline"
Peek fulfilment,YES,NO,YES,YES,YES,YES,NO,"explicit fulfilment states accepted/uploading/processing/completed/failed with bounded retry"
Contact reveal,YES,NO,n/a,YES,NO,YES,NO,"ContactButtons.jsx:198-209 confirmation before external hand-off; 54000 on cap exceeded"
Messaging,YES,UNVERIFIED,UNVERIFIED,YES,UNVERIFIED,YES,NO,"no realtime and no refetch on focus or reconnect (F-031)"
Notifications,YES,UNVERIFIED,UNVERIFIED,YES,UNVERIFIED,YES,NO,"notification_rows_page bounded paging"
Admin queues,YES,UNVERIFIED,UNVERIFIED,YES,YES,YES,NO,"role verification fallback; bounded cursor paging"
Unknown route,n/a,n/a,YES,n/a,n/a,n/a,n/a,"PageNotFound catch-all (App.jsx:213)"
