vertical,attribute,required_by_brief,captured_in_ui,stored_in_db,db_location,server_validated,filterable,indexed,displayed,searchable,safely_exposed,notes
listing_core,title,yes,yes,yes,listings.title,"yes — 10-160 chars (0046)",yes,"yes — idx_listings_title_trgm gin_trgm_ops",yes,yes,yes,
listing_core,description,yes,yes,yes,listings.description,"yes — 50-5000 chars (0046)",no,no,yes,partial,yes,
listing_core,price,yes,yes,yes,"listings.price numeric(14,2)","yes — >0 and <=999999999999.99 (0046); listings_price_nonnegative (0013:163)",yes,"yes — idx_listings_price",yes,no,yes,exact decimal type
listing_core,currency,yes,yes,yes,listings.currency,"yes — ^[A-Z]{3}$ and is_supported_listing_currency(country,currency)",partial,no,yes,no,yes,explicit per row; native_price/native_currency retained
listing_core,category,yes,yes,yes,listings.category,"yes — must be an active leaf of public.categories matching marketplace_kind",yes,"yes — idx_listings_kind_status",yes,yes,yes,121 leaf categories
listing_core,listing_type (sale/rent),yes,yes,yes,listings.listing_type,"yes — in ('sale','rent')",yes,no,yes,no,yes,
listing_core,status,yes,n/a,yes,listings.status,"yes — enum; owner transitions via owner_transition_listing only",yes,"yes — idx_listings_kind_status",yes,no,yes,protect_listing_managed_fields blocks owner tampering
listing_core,location,yes,yes,yes,"listings.location_id FK, country_code, public_latitude/longitude, public_location_label","yes — location must exist and be is_active",yes,"yes — idx_listings_location",yes,yes,yes,public_* columns are the coarsened projection; see Phase 3
listing_core,exact coordinates,n/a,yes,yes,"listings.latitude/longitude; listing_private_locations","yes",no,no,no,no,"MUST NOT be public — verified in Phase 3",privacy-critical
listing_core,photos,yes,yes,yes,listings.photos jsonb + listing_media,"yes — 1-20 items; each proven against listing_upload_intents and storage.objects owner/mimetype/byte_size",no,no,yes,no,yes,strong ownership proof
listing_core,contact_phone,yes,yes,yes,listings.contact_phone,"yes — <=40 chars; at least one contact method required",no,no,"reveal only",no,"yes — revoked from anon (0109) and authenticated (0115)",behind audited rate-limited reveal RPC
listing_core,contact_whatsapp,yes,yes,yes,listings.contact_whatsapp,"yes — <=40 chars",no,no,"reveal only",no,"yes — revoked from anon and authenticated",+263 normalization checked in Phase 5
listing_core,contact_email,yes,yes,yes,listings.contact_email,"yes — <=254 chars and email regex",no,no,"reveal only",no,"yes — revoked from anon and authenticated",
listing_core,has_contact_* flags,n/a,n/a,yes,"listings.has_contact_phone/whatsapp/email (generated stored)",n/a,no,no,yes,no,yes,"generated columns so cards render affordances without values"
listing_core,views,no,n/a,yes,listings.views,"yes — listings_views_nonnegative (0013:165); owner cannot mutate",no,no,yes,no,yes,inflation risk assessed in Phase 6
listing_core,attributes (registry document),yes,NO,"column exists but NEVER written","listings.attributes jsonb","envelope only — is_valid_attribute_document (0114)",no,no,no,no,n/a,"F-019/F-020 — registry is dead code; column holds default {version:1,values:{}} permanently"
property,property_type,yes,yes,yes,property_details.property_type,"enum cast; unknown values coalesce to 'other'",partial,no,yes,no,yes,
property,bedrooms,yes,yes,yes,property_details.bedrooms,"type only + property_details_counts_nonnegative (0013:171); no upper bound",yes,no,yes,no,yes,
property,bathrooms,yes,yes,yes,property_details.bathrooms,"same as bedrooms",yes,no,yes,no,yes,
