id,wcag_criterion,level,surface,status,evidence,notes
A-01,"1.3.1 Info and Relationships",A,Global,PASS,"65 landmark elements across src/; role= used 82 times","main/nav/header/footer present"
A-02,"2.4.1 Bypass Blocks",A,Global,PASS,"src/components/layout/AppLayout.jsx:81 'Skip to main content'","skip link present"
A-03,"2.4.6 Headings and Labels",AA,Global,PASS,"68 <h1 occurrences — every page template has a heading","heading order per page UNVERIFIED without rendering"
A-04,"4.1.2 Name Role Value",A,Global,PASS,"206 aria-label, 82 role=, 7 aria-describedby",""
A-05,"1.1.1 Non-text Content",A,Global,PASS,"123 aria-hidden on decorative icons; 33 alt attributes; BrandLogo img alt='' aria-hidden with text wordmark",""
A-06,"4.1.3 Status Messages",AA,Async surfaces,PASS,"8 aria-live regions; LoadingScreen role=status aria-label (App.jsx:73); ProtectedRoute role=status aria-live=polite (:8-11)",""
A-07,"2.4.7 Focus Visible",AA,Global,PASS,"31 focus-visible declarations — focus rings styled not removed",""
A-08,"2.5.5 Target Size",AAA,Interactive,PASS (sampled),"180 occurrences of h-11/h-12/min-h-10/min-h-[44px]; primary actions use h-11 = 44px","full sweep UNVERIFIED"
A-09,"2.3.3 Animation from Interactions",AAA,Peek player,FAIL,"only 2 prefers-reduced-motion declarations against animate-spin, transitions and an immersive video player","F-039"
A-10,"1.4.3 Contrast Minimum",AA,Global,UNVERIFIED,"requires rendered browser; not executed in this audit","needs check"
A-11,"1.4.4 Resize Text / 1.4.10 Reflow",AA,Global,UNVERIFIED,"200% zoom and 320-414px reflow require rendering","needs check"
A-12,"2.1.2 No Keyboard Trap",A,Radix dialogs,UNVERIFIED,"Radix primitives handle focus trapping by default but this was not exercised","needs check"
A-13,"1.4.1 Use of Colour",A,Status badges,UNVERIFIED,"listing status and verification badges not inspected for colour-independent meaning","needs check"
A-14,"3.3.1 Error Identification",A,Forms,PASS,"role=alert with aria-labelledby on error states (ProtectedRoute.jsx:91); customerErrors.js / userFacingErrors.js map server errors",""
